,Available Simulators
Week 1,4
Week 2,5
Week 3,3
Week 4,3
Week 5,3
Week 6,4
Week 7,4
Week 8,5
Week 9,5
Week 10,5
Week 11,5
Week 12,4
Week 13,4
Week 14,3
Week 15,3
Week 16,0
Week 17,0
Week 18,0
Week 19,2
Week 20,2
Week 21,2
Week 22,3
Week 23,3
Week 24,5
Week 25,4
Week 26,5
Week 27,5
Week 28,5
Week 29,4
Week 30,5
Week 31,5
Week 32,3
Week 33,1
Week 34,5
Week 35,5
Week 36,2
Week 37,2
Week 38,2
Week 39,2
Week 40,3
Week 41,3
Week 42,3
Week 43,5
Week 44,5
Week 45,5
Week 46,4
Week 47,4
Week 48,5
Week 49,5
Week 50,2
Week 51,5
Week 52,5
